PrimaryKey,Index Value
878.0,97704
879.0,97831
880.0,97939
881.0,98060
882.0,98179
883.0,98304
884.0,98469
885.0,98585
886.0,98722
887.0,98824
888.0,98944
889.0,99042
890.0,99180
891.0,99275
892.0,99387
893.0,99529
894.0,99626
895.0,99730
896.0,99847
897.0,99940
898.0,100036
899.0,100149
900.0,100335
901.0,100446
902.0,100558
903.0,100650
904.0,100834
905.0,100928
906.0,101027
907.0,101133
908.0,101240
909.0,101363
910.0,101487
911.0,101573
912.0,101692
913.0,101814
914.0,101921
915.0,102023
916.0,102111
917.0,102207
918.0,102329
919.0,102474
920.0,102601
921.0,102696
922.0,102872
923.0,102971
924.0,103077
925.0,103177
926.0,103268
927.0,103392
928.0,103474
929.0,103575
930.0,103666
931.0,103774
932.0,103861
933.0,103996
934.0,104108
935.0,104209
936.0,104299
937.0,104394
938.0,104523
939.0,104645
940.0,104759
941.0,104869
942.0,104976
943.0,105080
944.0,105185
945.0,105274
946.0,105394
947.0,105511
948.0,105614
949.0,105712
950.0,105813
951.0,105905
952.0,106038
953.0,106135
954.0,106251
955.0,106366
956.0,106506
957.0,106594
958.0,106718
959.0,106859
960.0,106998
961.0,107103
962.0,107193
963.0,107299
964.0,107406
965.0,107495
966.0,107607
967.0,107716
968.0,107848
969.0,107941
970.0,108063
971.0,108177
972.0,108321
973.0,108403
974.0,108509
975.0,108618
976.0,108727
977.0,108840
978.0,108954
979.0,109060
980.0,109168
981.0,109254
982.0,109382
983.0,109483
984.0,109611
985.0,109716
986.0,109824
987.0,109908
988.0,110053
989.0,110168
990.0,110295
991.0,110390
992.0,110519
993.0,110626
994.0,110744
995.0,110855
996.0,110959
997.0,111055
998.0,111171
999.0,111280
1000.0,111372
1001.0,111527
1002.0,111638
1003.0,111760
1004.0,111900
1005.0,111994
1006.0,112109
1007.0,112247
1008.0,112404
1009.0,112499
1010.0,112659
1011.0,112781
1012.0,112909
1013.0,113006
1014.0,113124
1015.0,113237
1016.0,113341
1017.0,113439
1018.0,113540
1019.0,113631
1020.0,113742
1021.0,113866
1022.0,113974
1023.0,114067
1024.0,114213
1025.0,114317
1026.0,114414
1027.0,114508
1028.0,114604
1029.0,114719
1030.0,114844
1031.0,114989
1032.0,115083
1033.0,115178
1034.0,115276
1035.0,115364
